relative_path,line_number,import_path
"database/settings_database.dart",6,"dart:io"
"pentoscope/pentoscope_generator.dart",6,"dart:math"
"pentoscope/pentoscope_provider.dart",4,"dart:async"
"pentoscope/pentoscope_provider.dart",5,"dart:math"
"pentoscope/widgets/pentoscope_piece_slider.dart",7,"dart:math"
"pentoscope/pentoscope_solver.dart",8,"dart:async"
"providers/settings_provider.dart",5,"dart:convert"
"utils/pentomino_geometry.dart",4,"dart:ui"
"utils/solution_exporter.dart",6,"dart:io"
"classical/pentomino_game_provider.dart",5,"dart:async"
"classical/pentomino_game_provider.dart",20,"dart:math"
"screens/demo_screen.dart",4,"dart:async"
"screens/pentomino_game/widgets/shared/draggable_piece_widget.dart",4,"dart:async"
"pentoscope_multiplayer/providers/pentoscope_mp_provider.dart",4,"dart:async"
"pentoscope_multiplayer/providers/pentoscope_mp_provider.dart",5,"dart:convert"
"pentoscope_multiplayer/models/pentoscope_mp_messages.dart",4,"dart:convert"
"pentoscope_multiplayer/screens/pentoscope_mp_game_screen.dart",4,"dart:math"
"data/solution_database.dart",9,"dart:typed_data"
"services/pentapol_solutions_loader.dart",4,"dart:typed_data"
"services/solution_matcher.dart",122,"dart:math"
